INFO   | jvm 1    | 2017/08/22 00:00:28 | objc[15198]: Class JavaLaunchHelper is implemented in both /Library/Java/JavaVirtualMachines/jdk1.8.0_131.jdk/Contents/Home/bin/java (0x10600d4c0) and /Library/Java/JavaVirtualMachines/jdk1.8.0_131.jdk/Contents/Home/jre/lib/libinstrument.dylib (0x11c9834e0). One of the two will be used. Which one is undefined.
STATUS | wrapper  | 2017/08/22 00:06:25 | INT trapped.  Shutting down.
INFO   | jvm 1    | 2017/08/22 00:06:25 | 2017-08-22 00:06:25.846:INFO:oejs.Server:Graceful shutdown SelectChannelConnector@0.0.0.0:8080
INFO   | jvm 1    | 2017/08/22 00:06:25 | 2017-08-22 00:06:25.847:INFO:oejs.Server:Graceful shutdown o.e.j.w.WebAppContext{/,file:/Users/michaelmurray/Documents/AlmostRealism/latest/flowtree/apache-archiva-2.2.3/apps/archiva/},/Users/michaelmurray/Documents/AlmostRealism/latest/flowtree/apache-archiva-2.2.3/apps/archiva
INFO   | jvm 1    | 2017/08/22 00:06:27 | 2017-08-22 00:06:26.919:INFO:/:Closing Spring root WebApplicationContext
INFO   | jvm 1    | 2017/08/22 00:06:32 | 2017-08-22 00:06:31.947:INFO:oejsh.ContextHandler:stopped o.e.j.w.WebAppContext{/,file:/Users/michaelmurray/Documents/AlmostRealism/latest/flowtree/apache-archiva-2.2.3/apps/archiva/},/Users/michaelmurray/Documents/AlmostRealism/latest/flowtree/apache-archiva-2.2.3/apps/archiva
STATUS | wrapper  | 2017/08/22 00:06:32 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/08/22 00:12:48 | --> Wrapper Started as Console
STATUS | wrapper  | 2017/08/22 00:12:48 | Launching a JVM...
INFO   | jvm 1    | 2017/08/22 00:12:48 | Java HotSpot(TM) 64-Bit Server VM warning: ignoring option MaxPermSize=128m; support was removed in 8.0
INFO   | jvm 1    | 2017/08/22 00:12:48 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2017/08/22 00:12:48 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2017/08/22 00:12:48 | 
INFO   | jvm 1    | 2017/08/22 00:12:49 | 2017-08-22 00:12:49.251:WARN:oejd.ContextDeployer:ContextDeployer is deprecated. Use ContextProvider
INFO   | jvm 1    | 2017/08/22 00:12:49 | 2017-08-22 00:12:49.261:WARN:oejd.WebAppDeployer:WebAppDeployer is deprecated. Use WebAppProvider
INFO   | jvm 1    | 2017/08/22 00:12:49 | 2017-08-22 00:12:49.325:INFO:oejs.Server:jetty-8.1.14.v20131031
INFO   | jvm 1    | 2017/08/22 00:12:49 | 2017-08-22 00:12:49.338:INFO:oejs.NCSARequestLog:Opened /Users/michaelmurray/Documents/AlmostRealism/latest/flowtree/apache-archiva-2.2.3/logs/request-20170822.log
INFO   | jvm 1    | 2017/08/22 00:12:49 | 2017-08-22 00:12:49.364:INFO:oejd.ContextDeployer:Deploy /Users/michaelmurray/Documents/AlmostRealism/latest/flowtree/apache-archiva-2.2.3/contexts/archiva.xml -> o.e.j.w.WebAppContext{/,null},/Users/michaelmurray/Documents/AlmostRealism/latest/flowtree/apache-archiva-2.2.3/apps/archiva
INFO   | jvm 1    | 2017/08/22 00:12:51 | 2017-08-22 00:12:51.080:INFO:oejpw.PlusConfiguration:No Transaction manager found - if your webapp requires one, please configure one.
INFO   | jvm 1    | 2017/08/22 00:12:51 | 2017-08-22 00:12:51.121:INFO:oejw.StandardDescriptorProcessor:NO JSP Support for /, did not find org.apache.jasper.servlet.JspServlet
INFO   | jvm 1    | 2017/08/22 00:12:56 | 2017-08-22 00:12:56.756:INFO:/:Initializing Spring root WebApplicationContext
INFO   | jvm 1    | 2017/08/22 00:14:06 | Aug 22, 2017 12:14:06 AM org.apache.tomcat.jdbc.pool.ConnectionPool init
INFO   | jvm 1    | 2017/08/22 00:14:06 | WARNING: maxIdle is larger than maxActive, setting maxIdle to: 20
INFO   | jvm 1    | 2017/08/22 00:14:30 | 2017-08-22 00:14:30.013:INFO:oejs.AbstractConnector:Started SelectChannelConnector@0.0.0.0:8080
STATUS | wrapper  | 2017/08/22 00:22:13 | INT trapped.  Shutting down.
INFO   | jvm 1    | 2017/08/22 00:22:14 | 2017-08-22 00:22:14.596:INFO:oejs.Server:Graceful shutdown SelectChannelConnector@0.0.0.0:8080
INFO   | jvm 1    | 2017/08/22 00:22:14 | 2017-08-22 00:22:14.597:INFO:oejs.Server:Graceful shutdown o.e.j.w.WebAppContext{/,file:/Users/michaelmurray/Documents/AlmostRealism/latest/flowtree/apache-archiva-2.2.3/apps/archiva/},/Users/michaelmurray/Documents/AlmostRealism/latest/flowtree/apache-archiva-2.2.3/apps/archiva
INFO   | jvm 1    | 2017/08/22 00:22:15 | 2017-08-22 00:22:15.668:INFO:/:Closing Spring root WebApplicationContext
INFO   | jvm 1    | 2017/08/22 00:22:20 | 2017-08-22 00:22:20.701:INFO:oejsh.ContextHandler:stopped o.e.j.w.WebAppContext{/,file:/Users/michaelmurray/Documents/AlmostRealism/latest/flowtree/apache-archiva-2.2.3/apps/archiva/},/Users/michaelmurray/Documents/AlmostRealism/latest/flowtree/apache-archiva-2.2.3/apps/archiva
STATUS | wrapper  | 2017/08/22 00:22:20 | <-- Wrapper Stopped
